Marca comercial,Ingrediente activo,CT,Unidad
MAGENTA 80 SC,DIURON,III,Lt
TESIX,TEBUCONAZOLE,III,Lt
METSULFURON ACA 60 WDG,METSULFURON METIL,III,Gr
ORVEGO ME,AMETOCTRADIN + METIRAM,III,Kg
GRAINVAULT,TIRAM,IV,Lt
ACTION ALFA 15,ALFACIPERMETRINA,Ib,Lt
N-35,ALCOHOL LINEAL ETOXILADO,III,Lt
N-35 PHLUS,ALCOHOL LINEAL ETOXILADO,III,Lt
PREVENTOR 80,CARBENDAZIM,IV,Kg
FASTER,NONIL FENOL ETOXILADO,IV,Lt
ACTION SEED 70,IMIDACLOPRID,II,Gr
"BAUNDAP 75,7 PLUS",GLIFOSATO,IV,Kg
STIMULATE,KINETINA + ACIDO GIBERELICO + ACIDO INDOL 3 BUTIRICO,IV,Lt
ADAMA MAYORAL,IMAZAPIR + IMAZAPIC,III,Lt
DICAMBA SUMAGRO,DICAMBA,III,Lt
COMPAÑÍA BAUNDAP AM,GLIFOSATO,IV,Lt
GLIFOSATO AMONIO CAGSA,GLIFOSATO,III,Lt
DICAMBA SURCROPS,DICAMBA EQUIVALENTE ACIDO,III,Lt
JANFRY,DIFENOCONAZOLE,III,Lt
MAGNUM FLIX,GLIFOSATO + IMAZETAPIR EQUIVALENTE AL ACIDO,III,Lt
D-AMINA,"2,4-D EQUIVALENTE ACIDO",II,Lt
OBJECT T,IMAZETAPIR,IV,Lt
GLIFOSATO DICOACTION,GLIFOSATO,III,Lt
PROWET,ALCOHOL GRASO ETOXILADO,IV,Lt
GLIFOSATO AMONIO JNG,GLIFOSATO,III,Lt
DICAMBA JNG,DICAMBA EQUIVALENTE ACIDO,III,Lt
HELMSTAR ,AZOXISTROBINA ,III,Lt
MAGNUM MAX,GLIFOSATO,IV,Kg
TEBUCONAZOLE 25 EW STOCKTON,TEBUCONAZOLE,III,Lt
COWBOY RED SURCOS,DICAMBA EQUIVALENTE ACIDO,III,Lt
CENTRON,ABAMECTINA + LUFENURON,II,Lt
"RIDOWN 88,8",GLIFOSATO,IV,Kg
CLEANSPRAY EHE,"2,4-D",III,Lt
"FOGO 27,6 SL",PARAQUAT,II,Lt
LOCKER DE PULVERIZACION ANTIDERIVA-ANTIEVAPORANTE-ADHERENTE,COMPLEJO C3 ,IV,Lt
TROPICA 84,ACETOCLOR,II,Lt
TIOGLEX,TIODICARB,II,Lt
TRIPLO,"GLIFOSATO + 2,4-D EQIV.ACIDO + DICAMBA EQIV.ACIDO",II,Lt
RAINDAZIM SC,CARBENDAZIM,IV,Lt
TENCHU,DINOTEFURAN,IV,Kg
OXIBIOL,DELTAMETRINA,II,Lt
IMIDACLOPRID 70 WP AGROSPEC,IMIDACLOPRID,II,Kg
TEBUCONAZOLE 43 KEMSURE,TEBUCONAZOLE,III,Lt
ATRAZINA 90 NUFARM,ATRAZINA ,IV,Kg
ATRAZINA ASSA,ATRAZINA ,III,Lt
DIFENOCONAZOLE 25 KEMSURE,DIFENOCONAZOLE,III,Lt
GLYNOMYL NH,GLIFOSATO,IV,Lt
"ABAMECTINA 1,8 STOCKTON",ABAMECTINA,II,Lt
ACTIVATE MAX,ALCOHOL LINEAL ETOXILADO,III,Lt
NOVOLESTER 68,"2,4-D EQUIVALENTE ACIDO",II,Lt
ACETOPRO 84,ACETOCLOR,III,Lt
RITA,METRIBUZIN,III,Lt
GOLIATH,IMIDACLOPRID + TIODICARB,II,Lt
SCATTO,DELTAMETRINA,II,Lt
"RIDOWN PS 66,2",GLIFOSATO,IV,Lt
X TRIM POWER,ALCOHOL LINEAL ETOXILADO,IV,Lt
VENDAVAL LAMBDA BIO,LAMBDACIALOTRINA,III,Lt
TITAN ,IMAZAPIC + IMAZAPIR,III,Kg
SANTERO,FIPRONIL,II,mL
"SINOMAX 75,7",GLIFOSATO,III,Kg
CLEANSPRAY,"2,4-D EQUIVALENTE ACIDO",II,Kg
DUPONT PREMIUM HL,GLIFOSATO,IV,Lt
"GLIFOSATO 75,7 SG STOCKTON",GLIFOSATO,III,Kg
BENEVIA,CYANTRANILIPROLE,IV,Cm3
"ABAMECTINA AGROSPEC 1,8 EC",ABAMECTINA,II,Cm3/Lt
DICAMBA 58 FORMULAGRO,DICAMBA EQUIVALENTE ACIDO,III,Lt
AVAL DOBLE,ABAMECTINA,II,Lt
ADAMA GRIZLY MAX,IMIDACLOPRID + NOVALURON + BIFENTRIN,II,Lt
YKATU,AZOXISTROBINA + TEBUCONAZOLE,III,Lt
TOP GRAIN,CARBENDAZIM + TIRAM,III,Lt
KEMAZON,PARAQUAT,II,Lt
METSULFURON BAYER,METSULFURON METIL,IV,Gr
IMAZETAPIR BH,IMAZETAPIR,III,Lt
MTU,CIPERMETRINA,IV,Lt
EAGLE,HALOXIFOP-P-METIL ,III,Lt
MR SHERIFF ANIKILATOR,QUIZALOFOP-P-ETIL,III,Lt
BIFENTRIN MAX,BIFENTRIN,II,Lt
ATRAGEN 90,ATRAZINA,IV,Kg
G62,GLIFOSATO,IV,Lt
RECOVER,TEBUCONAZOLE,III,Lt
VAPAM S,METAM SODIO,II,Lt
LAMBDA 5 AS,LAMBDACIALOTRINA,II,Lt
ARADOR ESTER 100,"2,4-D",III,Lt
POTENZA ULTRA II,GLIFOSATO,IV,Kg
"ECOPART 2,5 EC",PYRAFLUFEN ETHYL,II,Lt
"COWBOY 57,8 SL",DICAMBA EQUIVALENTE ACIDO,III,Lt
"PROTEMAZ IZP 10,6",IMAZETAPIR,III,Lt
PLUSOIL LQ,ACEITE DE SOJA,IV,Lt
LUCRO,BIFENTRIN,II,Lt
ESKOBA POTASICO,GLIFOSATO,III,Lt
GENSAFEN,FOMESAFEN,IV,Lt
GLIFOSATO G AMONIO,GLIFOSATO,III,Lt
AGROSATO,GLIFOSATO,III,Lt
CAPTION,CAPTAN,III,Lt
HUSSAR PLUS,IODOSULFURON METIL SODIO+ MESOSULFURON METIL SODIO,II,Lt
ATRAZINA 90 SINO CHEMICALS,ATRAZINA,III,Kg
ADAMA ESSENTIALS KOHINOR 70 WG,IMIDACLOPRID,II,Kg
CORREDOR,IMAZETAPIR,IV,Kg
GUAYRA,AZOXISTROBINA + TEBUCONAZOLE + CARBENDAZIM,III,Lt
ALIANZA,IMIDACLOPRID + TEBUCONAZOLE,III,Lt
CILAMBDA MICROACTIVE,LAMBDACIALOTRINA,II,Lt
REBELEX,CYHALOFOP BUTIL + PENOXSULAM,IV,Lt
ACEITE QUIMECO PLUS,ACEITE DE SOJA,IV,Lt
MASTRIN,IMIDACLOPRID + LAMBDACIALOTRINA + BIFENTRIN,III,Lt
METEO WDG,CLORIMURON ETIL,IV,Kg
DRIVER,LECITINA DE SOJA + ACIDO ACETICO,III,Cm3
GLIFOGLEX FULL III,GLIFOSATO,IV,Lt
SPARVIERO,LAMBDACIALOTRINA,III,Lt
OLEAJE,TRIFLOXISTROBIN + CYPROCONAZOLE,III,Lt
BIFEN BH,BIFENTRIN,II,Lt
VAPAM P,METAM POTASIO,II,Lt
ISOMATE C PLUS LL FLEX,DODECADIENOLES MEZCLA,IV,Gr
METOLACHLOR LINE,METOLACLORO,III,Lt
KUARTEL 70 SG,DICAMBA EQUIVALENTE ACIDO,II,Kg
ISOMATE C PLUS LL RING,DODECADIENOLES MEZCLA,IV,Gr
LORD,CLETODIM,III,Lt
GLIF 48 BH,GLIFOSATO,III,Lt
SCREEN DUO,CAOLINITA,IV,Kg
GLIFOPRO FULL,GLIFOSATO ,III,Lt
ZINAX,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA,III,Lt
NATIUR,LUFENURON,III,Lt
CROPMAX PARAQUAT,PARAQUAT,II,Lt
CLEANOUT,DIQUAT DIBROMURO,II,Lt
X TRIM G POWER,ALCOHOL LINEAL ETOXILADO,III,Lt
FOLCISTIN,FOLCISTEINA,IV,Lt
EVEREST 70 WDG,FLUCARBAZONE SODICO,IV,Gr
OIL SOLUTION,ACEITE DE SOJA DESGOMADO,IV,Lt
GRAM PLUS,ACEITE DE SOJA ,IV,Lt
NOVOLESTER AGM,"2,4-D",III,Lt
MICROLAMB 25 SC,LAMBDACIALOTRINA,II,Lt
DIURON SHARDA 80 SC,DIURON,III,Lt
ACEITE VEGETAL SUMAGRO,ACEITE DE SOJA,IV,Lt
HALO PLUS,HALOXIFOP-P-METIL ,III,Lt
ACEITE VEGETAL AGROQUIMICA TOLEDO,ACEITE DE SOJA,IV,Lt
SAKKON EXTREMO,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
BIOLECIT,LECITINA DE SOJA,IV,Lt
NIEBLA MAS,ACEITE DE SOJA,III,Lt
HAKA 25,LAMBDACIALOTRINA,II,Lt
"BAUNDAP 75,7",GLIFOSATO,IV,Kg
CLEAR OUT,GLIFOSATO,IV,Kg
KUAT,PARAQUAT,II,Lt
"COMPAÑÍA 2,4-D AMINA","2,4-D SAL DIMETILAMINA",II,Lt
TEBUCONAZOLE 25 UPL,TEBUCONAZOLE,III,Lt
DISCOVER,CLOMAZONE + HEXAZINONA,III,Kg
ASP ESTER LV,"2,4-D EQUIVALENTE ACIDO",III,Lt
MORTAL,"2,4-D EQUIVALENTE ACIDO",III,Lt
DEFENZA,METALAXIL,II,Lt
OPTYMUS X ECOLOGY EVOLUTION,ALCOHOL GRASO ETOXILADO,IV,Lt
TIENTO,PICLORAM,IV,Lt
OPERA ULTRA,PYRACLOSTROBIN + METCONAZOLE,II,Lt
"2,4D AMINA FORMULAGRO","2,4-D EQUIVALENTE ACIDO",II,Lt
LUMIVIA TM,CLORANTRANILIPROLE,IV,Lt
SOXIS,AZOXISTROBINA,III,Lt
RAISAN,QUITOSANO,IV,Lt
ACETOPRO 90,ACETOCLOR,II,Lt
ADAMA ESSENTIALS MESOFLEX,MESOTRIONE,III,Lt
KARMA,CARBENDAZIM + TIRAM,II,Lt
ABRIGO,TEBUCONAZOLE,IV,Lt
LA TIJERETA BOX,GLIFOSATO ,III,Kg
HIDROXICOBRE 35 WG,HIDROXIDO DE COBRE,II,Kg
BIOSTICK,ALCOHOL LINEAL ETOXILADO,III,Lt
VENTO,TIODICARB + LUFENURON,II,Lt
SMART,"2,4-D EQUIVALENTE ACIDO",II,Kg
CLEANER 50,CLOROTALONIL,IV,Lt
PERCUTOR,IODOSULFURON METIL + THIENCARBAZONE METIL ,III,Gr
BIGUA,DICLOSULAM,III,Gr/Kg
MAT MAS,ALCOHOL LINEAL ETOXILADO,III,Lt
PARAQUAT INSUAGRO,PARAQUAT,II,Lt
KNOCK OUT,GLIFOSATO ,IV,Kg
ATRAZINA LQ 90,ATRAZINA,IV,Kg
"DICAMBA DAARGUS 57,7",DICAMBA EQUIVALENTE ACIDO,III,Lt
PROCLAIM FORTE,BENZOATO DE EMAMECTINA,II,Kg
STARKLE 70 WP,DINOTEFURAN,IV,Gr/Kg
AMICOR,CLORANTRANILIPROLE,IV,Lt
TAPIR 10,IMAZETAPIR,III,Lt
CKC METALAXIL,METALAXIL,II,Kg
PARAQUAT RURALCO,PARAQUAT,II,Lt
NICOSULFURON 75 SURCOS,NICOSULFURON,III,Kg
NOVACTION,MALATION,III,Lt
GLIFOCAS K,GLIFOSATO ,IV,Lt
CENTINELA,IMIDACLOPRID,II,Lt
QUICK WATER,ALQUIL ARIL POLIGLICOL ETER,IV,Lt
METOMIL LINE,METOMIL,Ib,Gr/Kg
BIFLEX PLUS,BIFENTRIN + NOVALURON,II,Lt
CAPTAIN 80 WP,CAPTAN,III,Kg
TROMPO,PROFENOFOS + LUFENURON,II,Lt
ANTIDERIVA BAGUAL,DODECILBENCENO SULFONICO,III,Lt
ATRAZINA BH,ATRAZINA,III,Lt
"FLUTRI 12,5 SC",FLUTRIAFOL  ,III,Lt
BORDO WG,SULFATO TETRACUPRICO TRICALCICO,III,Kg
"GREEN 2,4D SG","2,4-D EQUIVALENTE ACIDO",III,Kg
ESTERCIDE,"2,4-D EQUIVALENTE ACIDO",III,Lt
MANCOZEB 80 MELTHIS,MANCOZEB,IV,Kg
MAIZAL SURCOS,ATRAZINA,IV,Lt
SERDRIFT MAX,NONIL FENOL ETOXILADO,III,Lt
JANFRY XTRA,AZOXISTROBINA + DIFENOCONAZOLE,III,Lt
ACENTO,AZOXISTROBINA + TEBUCONAZOLE,III,Lt
ESCAMPE,FOMESAFEN,III,Lt
SAX,HIDROXIDO DE COBRE,II,Kg
LABEL SURCOS,LAMBDACIALOTRINA,II,Lt
LUCIFER 5,LUFENURON,III,Lt
SPEEDWET XION ACTIVEGEL,ALCOHOL LINEAL ETOXILADO,IV,Lt
SPEEDWET XION SILICONGEL,ALCOHOL LINEAL ETOXILADO,IV,Lt
NOVOLESTER 97,"2,4-D EQUIVALENTE ACIDO",II,Lt
CHEMQUAT,PARAQUAT,II,Lt
ACARICIDA MANCHESTER,ABAMECTINA,II,Lt
DEFENTOX D,DELTAMETRINA,II,Lt
TRICUR,TEBUCONAZOLE,IV,Lt
ZONDA,GLIFOSATO ,IV,Lt
SERCOR FULL,NONIL FENOL ETOXILADO,III,Lt
AVIZOR RM,EPOXICONAZOLE + CARBENDAZIM,III,Lt
SUTERRA VMB,SENECIOATO DE LAVANDULIL,IV,Cebo
"ABAMECTINA 1,8 MELTHIS",ABAMECTINA,II,Lt
METSULFURON AGROS,METSULFURON METIL,IV,Gr
MIREX JNG,SULFLURAMIDA ,III,Kg
GLIFOSATO GR RURALCO,GLIFOSATO ,IV,Kg
BIFENTRIN 10 FORMULAGRO,BIFENTRIN,II,Lt
ACETO 90,ACETOCLOR,II,Lt
MEPIQUAT 5 SL,CLORURO DE MEPIQUAT,III,Lt
YPF HALOXIFOP HE,HALOXIFOP-P-METIL ,III,Lt
"2,4D ESTER KEMSURE","2,4-D EQUIVALENTE ACIDO",III,Lt
ATRAZINA 90 WG KEMSURE,ATRAZINA,III,Kg
IDENTITY,LECITINA DE SOJA,IV,Lt
ESKOBA ELITE,GLIFOSATO,III,Lt
TALSTAR EXTRA,BIFENTRIN + ABAMECTINA,II,Lt
QUID OIL,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITES VEGETALES,IV,Lt
HEXEN,DICLOSULAM,III,Gr/Kg
MOVENTO PLUS,IMIDACLOPRID + SPIROTETRAMAT,II,Lt
LIGIER VERDE BIO,ALCOHOL GRASO ETOXILADO,IV,Lt
STACK SIGMA,IMIDACLOPRID + LAMBDACIALOTRINA + BIFENTRIN,III,Lt
ACETO 84,ACETOCLOR,II,Lt
PICLORAM 24 RAINBOW,PICLORAM EQUIVALETE ACIDO,IV,Lt
IMAZETAPIR ASSA,IMAZETAPIR,III,Lt
TORCH PLUS,"PICLORAM EQUIVALETE ACIDO + 2,4-D EQUIVALENTE ACIDO",III,Lt
"2,4D 96,3 NUFARM","2,4-D",II,Kg
M.I.R. KEMSURE,IMIDACLOPRID + LAMBDACIALOTRINA + BIFENTRIN,III,Lt
WIPE OUT,GLIFOSATO ,IV,Kg
ESPOLETA,IMIDACLOPRID,II,Lt
ARTILLERO,IMIDACLOPRID + LAMBDACIALOTRINA + BIFENTRIN,II,Lt
RADIS TM,ABAMECTINA + TIAMETOXAM,II,Lt
PHILAMINA 50,"2,4-D EQUIVALENTE ACIDO",III,Lt
ORQUESTA TM ULTRA,FLUXAPYROXAD +PYRACLOSTROBIN + EPOXICONAZOLE  ,II,Lt
KAMBA DRY,DICAMBA EQUIVALENTE ACIDO,II,Kg
ALFACROP,ALFACIPERMETRINA,II,Lt
TEBUCONAZOLE DUSHO,TEBUCONAZOLE,III,Lt
ORCUSS,HALOXIFOP-P-METIL ,III,Lt
"2,4 D AMINA 85 BV","2,4-D EQUIVALENTE ACIDO",II,Lt
SUPERB 70,DICAMBA EQUIVALENTE ACIDO,II,Kg
MANCOZEB FARM CHEMICALS,MANCOZEB,III,Kg
DUOSEED AGROS,IMIDACLOPRID + TEBUCONAZOLE,III,Lt
TEBUZIM AGROS,TEBUCONAZOLE + CARBENDAZIM,III,Lt
"GLIFO 75,7",GLIFOSATO ,IV,Kg
A VOLAR C & P,TIRAM,IV,Lt/mg
SMARTFRESH  PROTABS,1-METILCICLOPROPENO,IV,Gr
PARAQUAT II AGROS,PARAQUAT,II,Lt
FLOK 15-35 SURCOS,CARBENDAZIM + TIRAM,III,Lt
ISHICLORFOS 48,CLORPIRIFOS,II,Lt
GLIFORTE,GLIFOSATO ,III,Kg
PUFFER LB,"(E,Z)7,9-DODECADIENIL ACETATO",IV,Lt/ml
MAGNUM DUO,"GLIFOSATO + 2,4-D EQUIVALENTE ACIDO",IV,Lt
BIFENTRIN FALCROP,BIFENTRIN,II,Lt
IMAZACURE 50 EC,IMAZALIL,II,Lt
SHARPEN 33 EC,PENDIMETALIN,III,Lt
ALFAMAX 25 MICRO,ALFACIPERMETRINA,III,Lt
ESKOBA SURCOS,GLIFOSATO ,III,Lt
TOPLOX,HALOXIFOP-P-METIL ,III,Lt
PIREO,LUFENURON,III,Lt
HALOXIFOP BIESTERFELD ,HALOXIFOP-P-METIL ,III,Lt
HALOXIFOP MELTHIS,HALOXIFOP-P-METIL ,III,Lt
QUINTAL,METOXIFENOCIDE + SPINOSAD,IV,Lt
FLOW THIN 50,CARBENDAZIM,III,Lt
METOLACLOR NUFARM,METOLACLORO,III,Lt
ATAVIO,ACEITE DE SOJA,IV,Lt
METSULFURON AS,METSULFURON METIL,IV,Kg
NIEBLA ECOPLUS,ALCOHOL LINEAL ETOXILADO,III,Lt
HELPER,ALCOHOL LINEAL ETOXILADO,III,Lt
DINNO,DINOTEFURAN,IV,Gr/Kg
CREDIT AMONIO,GLIFOSATO ,IV,Lt
ABAMET,ABAMECTINA,II,Lt
"ADAMA ESSENTIALS 2,4 D AMINA 60,2 SL","2,4-D EQUIVALENTE ACIDO",II,Lt
LAMBDACIALOTRINA TECNOMYL,LAMBDACIALOTRINA,II,Lt
GLYNOMYL II,GLIFOSATO ,III,Lt
ATRAZINA TM 50,ATRAZINA,III,Lt
HURON,CLORIMURON ETIL,IV,Gr
POTENZA TOP,GLIFOSATO,IV,Kg
HOR-TAL USO AGRICOLA,DELTAMETRINA + CIPERMETRINA,III,Lt
SILVZOLE,TEBUCONAZOLE,III,Lt
SARIT 50 WG,AZOXISTROBINA,III,Kg
NANOK,AZOXISTROBINA + FLUTRIAFOL,III,Lt
HALIZAN AGM,HALOXIFOP-P-METIL ,II,Lt
ACETAMIPRID 20 DVA,ACETAMIPRID,II,Kg
COADYUVANTE SILICONADO BAGUAL,DODECIL BENCENO SULFONICO,III,Lt
GLIFOPAMPA ZAMBA,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
DESECANTE KEMSURE,PARAQUAT,II,Lt
METYLOIL LINE,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITES VEGETALES,III,Lt
BIOVERDE SIL,ACIDO CITRICO,IV,Lt
CHECK MATE LB F,"(EZ)7,9 -DODECADIENIL ACETATO EQUIVALENTE",IV,Lt
GRADUATE A +TM,AZOXISTROBINA + FLUDIOXONIL,II,Lt
LAMBDATRIN,LAMBDACIALOTRINA,III,Lt
CORRECTOR SINER,ACIDO FOSFORICO,IV,Lt
ATRAZINA EQUIPAGRO 90 WG T,ATRAZINA,IV,Kg
BOOMERANG,HALOXIFOP-P-METIL ,IV,Lt
WEEDAR ,"2,4-D",III,Lt
CRUCIAL,GLIFOSATO,IV,Lt
ATRAMYL 90 WG,ATRAZINA,IV,Kg
PICLO AGROS,PICLORAM,IV,Lt
EXTERMIFOS,CLORPIRIFOS,II,Lt
ALFA POWER,ALFACIPERMETRINA,II,Lt
GENFOSATO SUPER,GLIFOSATO,III,Kg
ACARICYGON A,DIMETOATO,II,Cm3/Lt
CLORPIRIFOS ASSA,CLORPIRIFOS,II,Lt
BIFENTRIN BAC,BIFENTRIN,II,Lt
CARZIM JNG,CARBENDAZIM,IV,Lt
"TOTAL SUPER 75,7",GLIFOSATO,III,Kg
MADDOX PLUS,IMAZETAPIR,IV,Kg
BABESLEA,LAMBDACIALOTRINA,II,Lt
FLOW THIN AGROS,CARBENDAZIM + TIRAM,III,Cm3/Lt
DINAMAZ 75,IMAZETAPIR,III,Kg
ECO DUSHO,ACEITE DE SOJA,IV,Lt
CLORPI 48 SURCOS,CLORPIRIFOS,II,Lt
TORCH,"PICLORAM + 2,4-D",III,Lt
ESTERCIDE LV,"2,4-D",III,Lt
ALFAMETRINA 10 SUMAGRO,ALFACIPERMETRINA,II,Lt
HALOXIFOP 24 DVA,HALOXIFOP-P-METIL ,II,Lt
CYCLON PLUS,IMIDACLOPRID + LAMBDACIALOTRINA + BIFENTRIN +ABAMECTINA,IV,Lt
POTENZA FULL,GLIFOSATO,IV,Lt
FANTIC M,BENALAXIL M + MANCOZEB,IV,Kg
REALEZA RED SURCOS,GLIFOSATO + IMAZETAPIR,III,Lt
VIVANDO,METRAFENONE,IV,Lt
LUPARA DK,MERCAPTOTION,II,Lt
MANCOZEB 80 HELM,MANCOZEB,III,Kg
MANCOZEB 75 HELM,MANCOZEB,III,Kg
BIOSPRAY,ALCOHOL GRASO ETOXILADO,III,Lt
VALIS M,MANCOZEB + VALIPHENAL,IV,Kg
ACETO SHARDA 20 SP,ACETAMIPRID,II,Kg
CHAMACO,TIODICARB,II,Cm3/Lt
SADDLER SEMILLERO,TIODICARB,II,Lt
DECIS FORTE,DELTAMETRINA,II,Lt
TRIBUTO 75 WG,METRIBUZIN,III,Kg
SPRINT-GLIF,GLIFOSATO,III,Lt
TACORA XTRA,AZOXISTROBINA + TEBUCONAZOLE,III,Lt
SABIUS,LAMBDACIALOTRINA,II,Lt
FOMESAMAX 25,FOMESAFEN,III,Lt
"PARACUAT 27,6 KEMSURE",PARAQUAT,II,Lt
AJUSTE ROTAM,HEPTA METIL TRISILOXANO MODIFICADO,III,Lt
"2,4D AMINA MAX 60","2,4-D",II,Lt
JANITOR,IMAZETAPIR,IV,Kg
PARAQUAT MAX,PARAQUAT,II,Lt
COWBOY ELITE,DICAMBA,III,Lt
NEMATHORIN EC 15 ,FOSTIAZATE,II,Lt
LUPARA ULV,MERCAPTOTION,II,Lt
MAIZAL WG SURCOS,ATRAZINA,III,Kg
DELFARM,DELTAMETRINA,II,Lt
ADAMA PARALLEL PLUS,METOLACLOR + ATRAZINA,III,Lt
FACYT CARB 50,CARBENDAZIM,III,Lt
ITALAME MAX,AMETRINA,II,Lt
ECHO 72 MAX,CLOROTALONIL,II,Lt
SIPCAPRIN MAX,PROMETRINA,III,Lt
EXIMIA TP,METIL TIOFANATO + METALAXIL,IV,Lt
CULTIFIX DF,IMAZAPIR,III,Gr
"GREEN CHOICE 2,4D AMINA","2,4-D",II,Lt
CROPMAX FOSFURO,FOSFURO DE ALUMINIO,Ia,Gr/Kg
TELONE C,"1,3-DICLOROPROPENO + CLOROPICRINA",Ia,Lt
RID AWAY,GLIFOSATO,IV,Lt
PICLORAM SUMAGRO,PICLORAM EQUIVALENTE ACIDO,IV,Lt
GLINT,HALOXIFOP-P-METIL ,III,Lt
ABINSEC,ABAMECTINA,II,Lt
GREEN CHOICE GLIFOSATO,GLIFOSATO EQUIVALENTE ACIDO,IV,Kg
"PARAQUAT 27,6 AS",PARAQUAT,II,Lt
"2,4D CAMPO ESTER","2,4-D EQUIVALENTE ACIDO",II,Lt
DICAMBA MELTHIS,DICAMBA EQUIVALENTE ACIDO,III,Lt
POTASO SURCOS,GLIFOSATO EQUIVALENTE ACIDO,III,Lt
AZOFOLIAR,BACILLUS SUBTILIS,IV,Lt
AZOGRANERO,BACILLUS SUBTILIS,IV,Lt
DIFLUFENICAN BIESTERFELD,DIFLUFENICAN,III,Lt
ALION,INDAZIFLAM,III,Lt
TORCH PLUS,"PICLORAM + 2,4-D",III,Lt
ADAMA ATRANEX,ATRAZINA,IV,Kg
GLIVYC MAX,GLIFOSATO EQUIVALENTE ACIDO,III,Lt
"2,4D AMINA 60% IYASI","2,4-D EQUIVALENTE ACIDO",III,Lt
MADDOX 10,IMAZETAPIR,IV,Lt
"2,4D ESTER SIGMA","2,4-D EQUIVALENTE ACIDO",II,Lt
CUMPA,ACEITE DE SOJA,IV,Lt
FOCUS,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL ,IV,Lt
"GREEN PARAQUAT 27,6",PARAQUAT,II,Lt
BRIOS,ALCOHOL GRASO ETOXILADO,III,Lt
SNIPE,ALCOHOL LINEAL ETOXILADO,III,Lt
ATRA 90 WG KEMSURE,ATRAZINA,IV,Lt
TORO 24 SL,PICLORAM,IV,Lt
IMAZETAPIR 75 GR RURALCO,IMAZETAPIR,III,Kg
GLOSTER,DIMETOATO,II,Lt
"2,4DB MULCHEN EXPRESS","2,4-DB",II,Lt
"GLISAL 75,7 QZ",GLIFOSATO,III,Kg
ZITA,ZIRAM,III,Kg
UPTAKE PLUS,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL ,IV,Lt
FLUMYZIN SC,FLUMIOXAZIN,IV,Lt
ADAMA ESSENTIALS DIAMOND,GLIFOSATO EQUIVALENTE ACIDO,IV,Kg
"BULLFIGHT 75,7",GLIFOSATO EQUIVALENTE ACIDO,IV,Kg
GREEN ATRAZINA 90 WG,ATRAZINA,IV,Kg
GLIFOSATO GRANULADO HF,GLIFOSATO EQUIVALENTE ACIDO,IV,Kg
KOLTAR,OXIFLUORFEN,III,Lt
ISATALONIL MAX,CLOROTALONIL,IV,Lt
PROMETRIN 50 SURCOS,PROMETRINA,III,Lt
"HALOXIFOP 12,5 SINER",HALOXIFOP-P-METIL ,III,Lt
SULFO-CUP PREMIUM,AZUFRE + HIDROXIDO DE COBRE + OXICLORURO DE COBR,III,Kg
OCTANO,LAMBDACIALOTRINA + ABAMECTINA,II,Lt
SISTEMOIL ACA,ACEITE DE SOJA,IV,Lt
MOVENTO  ,SPIROTETRAMAT,III,Lt
VERIMARK,CYANTRANILIPROLE,IV,Cm3
TOPLOX XTRA,HALOXIFOP-P-METIL ESTER,III,Lt
NOMINEE GOLD,BISPYRIBAC SODIO,II,Lt
ICEFATE,ACEFATO,II,Lt
DIMEKING,DIMETOATO,II,Lt
RAINQUAT PLUS,PARAQUAT + DIURON,II,Lt
DEDALO ELITE,"2,4-D",II,Lt
INDIGO,IMAZAPIR,III,Lt
TUKEN,DIFLUFENICAN,III,Kg
POTENZA K,GLIFOSATO,IV,Lt
TENOR,CARBENDAZIM + EPOXICONAZOLE,III,Lt
OPTIONS ADVANCE FS,CARBOXIN + METIL TIOFANATO + METALAXIL + CAPTAN,IV,Lt
SIRTAKI,CLOMAZONE,III,Lt
ECOCIADHIERE SURCOS,ALCOHOL GRASO ETOXILADO,IV,Lt
"HALOXIFOP 12,5 ACTION",HALOXIFOP-P-METIL ESTER,III,Lt
IMAZETAPIR 10 MELTHIS,IMAZETAPIR,IV,Lt
RAINDAZIM,CARBENDAZIM,IV,Kg
SUPERFINA,CIPERMETRINA,II,Lt
KAMBA  ,DICAMBA,IV,Lt
GIANT SURCOS,"GLIFOSATO + 2,4-D",IV,Lt
ECO PLUS SILICONADO,ALCOHOL GRASO ETOXILADO,III,Lt
GURU,HALOXIFOP-P-METIL,III,Lt
FACYT IMPID,IMIDACLOPRID ,III,Lt
LINX,AZOXISTROBINA + DIFENOCONAZOLE,IV,Lt
RAINIFOS,CLORPIRIFOS,II,Lt
ACEITE VEGETAL RURALCO,ACEITE DE SOJA,IV,Lt
VIBRANCE TM SEMILLERO,SEDAXANE,III,Lt
MULCHEN METILOIL,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITES VEGETALES,III,Lt
"2,4D AMINA LINE","2,4-D EQUIVALENTE ACIDO",II,Lt
OBJECT,IMAZETAPIR EQUIVALENTE ACIDO,III,Lt
